"nid" "centrality"
"83" "31032" "5.32641495905933e-07"
"84" "31034" "8.52920758132895e-19"
"85" "31036" "0.0872329074107277"
"86" "31038" "0.000937449013060248"
"87" "31041" "0.0011559489089084"
"88" "31044" "3.10153002957416e-19"
"89" "31045" "0.0640305206062097"
"90" "31046" "7.5416275629687e-08"
"91" "31052" "4.00595196343736e-08"
"92" "31053" "1.0320252225385e-07"
"93" "31054" "1.75796616454655e-09"
"94" "31059" "0.00132054499033374"
"95" "31063" "0.00976044028053363"
"96" "31064" "0.000400160364765437"
"97" "31067" "0.010584401739134"
"98" "31069" "0.0826551875910521"
"99" "31071" "0.00131904851844128"
"100" "31072" "8.52920758132895e-19"
"101" "31073" "6.37388651780847e-18"
"102" "31075" "1.54598084631705e-18"
"103" "31076" "1.53813465532104e-14"
"104" "31079" "9.96387333975559e-05"
"105" "31083" "4.03637900881841e-10"
"106" "31091" "0.00665124408328769"
"107" "31092" "9.41116362503338e-06"
"108" "31094" "0.0256332856758812"
"109" "31095" "6.31676360336028e-11"
"110" "31097" "8.77111693044713e-08"
"111" "31101" "4.70920324245347e-16"
"112" "31102" "1.49261132673257e-18"
"113" "31103" "0.0243331431014511"
"114" "31104" "6.56992184227536e-05"
"115" "31105" "3.10153002957416e-19"
"116" "31106" "0.000151181881282026"
"117" "31108" "0.0154296343421069"
"118" "31109" "0.000232922775793322"
"119" "31111" "8.52920758132895e-19"
"120" "31112" "2.37898316183505e-14"
"121" "31114" "0.0079505457067979"
"122" "31115" "0.00692793334773395"
"123" "31123" "0.01810656298946"
"124" "31124" "0.00117832242404296"
"125" "31135" "8.52920758132895e-19"
"126" "31139" "3.10153002957416e-19"
"127" "31146" "2.94008934977454e-12"
"128" "31148" "6.5674260935964e-09"
"129" "31153" "1.79074691533799e-06"
"130" "31154" "8.57649455840544e-12"
"131" "31157" "3.10153002957416e-19"
"132" "31158" "3.40287793643908e-07"
"133" "31160" "3.64366010697328e-06"
"134" "31161" "1.75666774688528e-05"
"135" "31162" "8.52920758132895e-19"
"136" "31164" "0.0159215909365874"
"137" "31167" "7.73563412549839e-13"
"138" "31170" "3.10153002957416e-19"
"139" "31171" "1.95258191277939e-06"
"140" "31175" "0.000507235942975114"
"141" "31179" "0.0158885901087458"
"142" "31180" "3.10153002957416e-19"
"143" "31181" "0.0243611805137704"
"144" "31186" "0.000110385867328486"
"145" "31187" "1.2408362959817e-05"
"146" "31189" "1.6604096319127e-05"
"147" "31191" "0.00399438468350525"
"148" "31192" "0.0032932134117306"
"149" "31197" "8.52920758132895e-19"
"150" "31198" "2.71738274807715e-07"
"151" "31204" "2.45960767859926e-09"
"152" "31205" "4.76044303289791e-11"
"153" "31206" "1.75892153704035e-11"
"154" "31208" "0.0288641315159692"
"155" "31209" "9.67287848678481e-06"
"156" "31210" "9.14516409164836e-06"
"157" "31214" "0.00171367788834352"
"158" "31217" "8.52920758132895e-19"
"159" "31218" "1.57896923052404e-08"
"160" "31220" "1.09234908516575e-08"
"161" "31227" "1.86072524401795e-07"
"162" "31230" "5.9639988463072e-07"
"163" "31232" "0.0180936711822307"
"164" "31234" "8.63896464468719e-05"
"165" "31237" "0.000296215145372951"
"166" "31239" "0.000754597165103461"
"167" "31240" "8.52920758132895e-19"
"168" "31243" "0.00115284974958867"
"169" "31246" "3.10153002957416e-19"
"170" "31247" "0.000853399967017067"
"171" "31248" "5.31031167916289e-12"
"172" "31251" "8.52920758132895e-19"
"173" "31252" "0.0090039490999498"
"174" "31255" "3.10153002957416e-19"
"175" "31259" "3.10153002957416e-19"
"176" "31260" "0.0331326025573932"
"177" "31261" "0.00979661942752545"
"178" "31263" "1.45099829866691e-08"
"179" "31265" "1.8328541443069e-06"
"180" "31268" "0.0167251946852648"
"181" "31269" "0.0273808805079002"
"182" "31271" "0.078191068484234"
"183" "31273" "3.10153002957416e-19"
"184" "31277" "9.34847243365207e-13"
"185" "31279" "3.10153002957416e-19"
"186" "31281" "0.0584520137872584"
"187" "31283" "0.0345447835427439"
"188" "31289" "1.83140672391519e-06"
"189" "31290" "8.38684060803044e-09"
"190" "31291" "3.10153002957416e-19"
"191" "31297" "3.10153002957416e-19"
"192" "31298" "0.00475614425745064"
"193" "31301" "4.44468425572668e-06"
"194" "31304" "2.26799383412611e-18"
"195" "31305" "0.00353878056482028"
"196" "31306" "0.0020340923180461"
"197" "31307" "0.00303899212857088"
"198" "31309" "8.52920758132895e-19"
"199" "31310" "2.1129173326474e-18"
"200" "31312" "3.10153002957416e-19"
"201" "31314" "0.00267564847973161"
"202" "31316" "3.27687029809657e-09"
"203" "31319" "6.05462037356813e-05"
"204" "31322" "3.10153002957416e-19"
"205" "31323" "0.00303084336093333"
"206" "31324" "1.47217809915115e-17"
"207" "31325" "3.10153002957416e-19"
