"nid" "centrality"
"173" "31277" "3.39791367830906e-10"
"174" "31279" "6.54066554657253e-19"
"175" "31281" "0.0371835384074522"
"176" "31282" "1.92594766148713e-07"
"177" "31285" "0.000179332854716433"
"178" "31288" "0.00257909601377148"
"179" "31289" "6.37684370072572e-05"
"180" "31290" "2.48472606122398e-06"
"181" "31291" "6.54066554657253e-19"
"182" "31292" "0.0386630197461434"
"183" "31294" "2.26662957245248e-08"
"184" "31295" "0.0391957763787075"
"185" "31296" "0.0437360627291987"
"186" "31297" "6.54066554657253e-19"
"187" "31298" "0.0872567599306072"
"188" "31299" "0.000204923576413521"
"189" "31301" "1.76314916634031e-05"
"190" "31304" "3.7608826892792e-18"
"191" "31306" "0.0796618241446757"
"192" "31309" "1.63516638664313e-18"
"193" "31310" "3.7608826892792e-18"
"194" "31311" "0.00832477232574251"
"195" "31312" "6.54066554657253e-19"
"196" "31314" "0.00790900320765199"
"197" "31317" "1.0253516695103e-08"
"198" "31318" "0.0013014591915277"
"199" "31322" "6.54066554657253e-19"
"200" "31325" "6.54066554657253e-19"
"201" "31326" "0.542971399037216"
"202" "31328" "0.0682313283479235"
"203" "31332" "0.000487443893905703"
"204" "31334" "0.00118533893804198"
"205" "31338" "2.30650400274105e-09"
"206" "31339" "6.54066554657253e-19"
"207" "31340" "5.42554580918848e-06"
"208" "31347" "5.13088851567875e-06"
"209" "31348" "0.0282664205403328"
"210" "31350" "0.0192152197746527"
"211" "31356" "1.63516638664313e-18"
"212" "31360" "0.00267142461068468"
"213" "31362" "6.54066554657253e-19"
"214" "31363" "0.0275260002198152"
"215" "31364" "6.54066554657253e-19"
"216" "31370" "2.0200728304392e-06"
"217" "31374" "2.30237572935901e-05"
"218" "31376" "0.00222509102481631"
"219" "31377" "7.002522879285e-14"
"220" "31378" "6.54066554657253e-19"
"221" "31379" "0.00853541130180885"
"222" "31385" "0.00767078053175153"
"223" "31386" "0.0320562788492191"
"224" "31387" "0.00460185014498638"
"225" "31388" "6.54066554657253e-19"
"226" "31390" "2.78081414550391e-06"
"227" "31392" "4.49082881455719e-07"
"228" "31395" "1.06955120125662"
"229" "31396" "0.292032955872683"
"230" "31400" "0.0287323525524827"
"231" "31404" "0.05139463239073"
"232" "31407" "6.54066554657253e-19"
"233" "31408" "0.00247525426738025"
"234" "31410" "5.31429075659018e-18"
"235" "31414" "0.00605705983145838"
"236" "31418" "0.130004921129013"
"237" "31426" "0.00910788720009711"
"238" "31428" "0.0485656206931746"
"239" "31429" "0.277930985794477"
"240" "31431" "0.0062737035639263"
"241" "31432" "2.14295662592896e-05"
"242" "31433" "7.002522879285e-14"
"243" "31434" "9.37168523435308e-06"
"244" "31435" "1.65227868463809e-09"
"245" "31436" "1.4018867498899e-13"
"246" "31437" "6.54066554657253e-19"
"247" "31438" "3.49610530794785e-06"
"248" "31440" "3.10681613462195e-18"
"249" "31442" "3.92439932794352e-18"
"250" "31443" "2.30650399010759e-09"
"251" "31447" "9.99779526742983e-06"
"252" "31448" "4.2991354526302e-09"
"253" "31449" "5.13088851877527e-06"
"254" "31450" "0.0260427814446934"
"255" "31451" "1.63516638664313e-18"
"256" "31453" "1.4018867498899e-13"
"257" "31456" "0.000160634211518072"
"258" "31458" "0.000115723950563501"
"259" "31460" "3.32233858041796e-05"
"260" "31463" "0.0114545714570582"
"261" "31466" "6.54066554657253e-19"
"262" "31468" "8.77739204488697e-08"
"263" "31469" "1.49447216234839e-07"
