Node1	Node2	AdamicAdar	WeightedKatz	IsEdge	BonCen1	BonCen2	StatusDiff
35188	36897	3.77179110969	13.5375	1	0.080332	0.002011	0.078321
35106	47395	2.65332321718	7.22	1	0.009297	0.000394	0.008903
49894	51157	1.82047845325	1.805	1	0	0	0
31093	42515	2.0677845863	7.22	1	0.001936	0.005325	0.003389
31287	34409	1.56925586336	4.5125	1	0.000359	0.009738	0.009379
41271	43279	2.79095079109	9.9275	1	0.148181	0.002928	0.145253
31902	51661	0.868588963807	1.805	1	0.001776	1.3e-05	0.001763
33952	40559	3.18035139834	11.7325	1	0.042543	0.002378	0.040165
34195	48570	2.60929324707	9.025	1	0.001754	0.03988	0.038126
30999	32613	1.70265179775	5.415	1	0.097209	0.001233	0.095976
37899	50560	1.21131682621	2.7075	1	0.000559	1.6e-05	0.000543
33292	38742	1.09088530086	5.415	1	0.001628	0.040393	0.038765
36926	41875	10.9219738218	55.955	1	0.086816	0.029734	0.057082
43160	45797	0.783528977357	3.61	1	0.002809	0.01794	0.015131
43807	46296	4.75333642686	19.855	1	0.007354	0.036222	0.028868
46146	49636	4.91780822433	18.05	1	0.003587	0.003587	0
40052	47946	2.98134882869	8.1225	1	0.004676	0.000498	0.004178
46595	51752	3.00762174034	8.1225	1	0.000811	0.003278	0.002467
37850	46969	4.80974378732	24.3675	1	0.022011	0.035127	0.013116
37890	45024	4.32174605806	18.05	1	0.006402	0.056117	0.049715
33887	51413	2.77741284076	12.635	1	0.00666	0.004503	0.002157
31158	48645	18.6177519398	92.9575	1	0.066344	0.052544	0.0138
47307	50821	1.98143044286	9.025	1	0.021344	0.004717	0.016627
35121	41451	2.09865201698	9.025	1	0.011926	0.011787	0.000139
39608	45344	8.18163734904	38.8075	1	0.02992	0.039913	0.009993
42835	47224	5.13499626852	16.245	1	0.00154	0.000892	0.000648
33715	37043	1.09624293965	4.5125	1	0.009944	0.002356	0.007588
40604	49009	2.1833241789	8.1225	1	0.020707	0.004955	0.015752
32166	39349	2.38438676027	5.415	1	0.00189	0.000141	0.001749
35334	41355	6.99465464483	36.1	1	0.027184	0.043096	0.015912
45645	48014	5.79838424423	16.245	1	0.016891	0.000576	0.016315
44706	49342	4.76499734554	14.44	1	0.00061	0.023407	0.022797
34045	38578	0.341523473189	1.805	1	0.007015	0.000609	0.006406
38467	39973	3.24018147512	11.7325	1	0.005119	0.004482	0.000637
38824	40485	3.69417726048	13.5375	1	0.001364	0.002423	0.001059
41231	42801	3.79945372233	13.5375	1	0.006697	0.010019	0.003322
31952	47805	6.29260785424	30.685	1	0.038115	0.018793	0.019322
32090	32151	9.31520395514	37.905	1	0.011673	0.075941	0.064268
38460	41451	2.46223597309	10.83	1	0.002615	0.011787	0.009172
31968	41642	2.50594932924	6.3175	1	0.001623	0.000312	0.001311
34358	48319	0.912547883859	2.7075	1	0.000245	0.000145	1e-04
47960	51345	5.18074170778	21.66	1	0.011594	0.044259	0.032665
37657	49516	3.0543371048	14.44	1	0.007145	0.068845	0.0617
32956	45079	2.5892833968	10.83	1	0.003657	0.003467	0.00019
30864	39344	1.44269504089	0.9025	1	1.3e-05	0.002137	0.002124
34035	43646	1.06184464933	2.7075	1	0.001752	0.012736	0.010984
38125	49996	4.61410246685	23.465	1	0.017651	0.04255	0.024899
51345	51933	4.01061423161	15.3425	1	0.044259	0.002305	0.041954
31680	34323	2.98246280578	9.9275	1	0.004087	0.003972	0.000115000000000001
36654	47976	4.72934684757	16.245	1	0.020143	0.001509	0.018634
38295	42351	1.62592341406	5.415	1	0.001194	6.7e-05	0.001127
43570	44873	3.28066857403	12.635	1	0.002765	0.011825	0.00906
41219	42122	0.829078901962	3.61	1	0.000787	0.009054	0.008267
39139	42077	1.54518356194	5.415	1	0.000632	0.000986	0.000354
34467	46026	1.66179060724	4.5125	1	0.000272	0.012234	0.011962
36322	51516	2.7769789016	8.1225	1	0.010323	0.000478	0.009845
43625	43915	7.24912786606	30.685	1	0.016868	0.016284	0.000584000000000001
30839	37391	4.82029497309	22.5625	1	0.021238	0.01059	0.010648
33406	37326	2.46552296475	5.415	1	3.3e-05	0.001875	0.001842
34837	37350	0.410252118631	1.805	1	0.070525	0.000694	0.069831
40624	47064	1.95440932194	5.415	1	0.022828	0.000624	0.022204
41886	43751	4.93746201132	16.245	1	0.002518	0.035226	0.032708
48957	50439	6.39604340441	27.075	1	0.013431	0.012148	0.001283
31259	47135	2.46576062923	9.025	1	0.002181	0.008487	0.006306
37438	40798	3.11768780953	15.3425	1	0.005959	0.082023	0.076064
45241	47759	3.85544758979	16.245	1	0.005736	0.005109	0.000627
