"investors"	"companies"	"time"
30899	335	"2010-09"
30899	336	"2010-01"
30899	337	"2011-08"
30900	338	"2009-09"
30901	339	"2005-09"
30901	340	"2005-07"
30901	341	"2009-11"
30901	341	"2009-07"
30902	342	"2010-07"
30903	343	"2013-04"
30904	344	"2011-03"
30905	345	"2010-10"
30906	346	"2011-01"
30906	347	"2011-10"
30906	348	"2012-05"
30906	349	"2012-05"
30906	350	"2011-06"
30906	351	"2010-10"
30906	352	"2013-11"
30906	353	"2011-06"
30906	354	"2012-06"
30906	355	"2010-06"
30906	356	"2012-01"
30906	357	"2012-05"
30906	358	"2014-03"
30906	359	"2010-12"
30906	360	"2013-10"
30906	361	"2013-10"
30906	362	"2012-10"
30906	363	"2012-12"
30906	364	"2012-09"
30906	365	"2011-11"
30906	366	"2011-08"
30906	367	"2011-10"
30906	367	"2010-08"
30906	368	"2011-10"
30906	369	"2012-08"
30906	370	"2013-03"
30906	371	"2011-01"
30906	372	"2011-06"
30906	373	"2013-10"
30906	374	"2013-04"
30906	375	"2013-03"
30906	376	"2013-02"
30906	377	"2013-08"
30906	378	"2013-08"
30906	379	"2013-12"
30906	380	"2012-09"
30906	381	"2012-08"
30906	381	"2012-06"
30906	382	"2013-05"
30906	383	"2013-05"
30906	384	"2010-11"
30906	385	"2011-12"
30906	386	"2011-03"
30906	387	"2011-09"
30906	388	"2010-06"
30906	389	"2010-08"
30906	390	"2011-05"
30906	391	"2012-03"
30906	392	"2011-07"
30906	393	"2010-03"
30906	394	"2011-09"
30906	395	"2011-04"
30906	396	"2011-03"
30906	397	"2011-10"
30906	398	"2012-11"
30906	399	"2013-09"
30906	400	"2013-07"
30906	401	"2012-12"
30906	402	"2012-09"
30906	403	"2012-01"
30906	404	"2011-05"
30906	405	"2010-04"
30906	406	"2010-10"
30906	406	"2011-01"
30906	407	"2012-07"
30906	408	"2011-10"
30906	409	"2011-04"
30906	410	"2011-05"
30906	411	"2013-04"
30906	412	"2012-11"
30906	413	"2012-10"
30906	414	"2011-08"
30906	415	"2012-04"
30906	416	"2012-07"
30906	417	"2013-02"
30906	417	"2013-10"
30906	418	"2011-05"
30906	419	"2011-03"
30906	420	"2012-09"
30906	421	"2013-05"
30906	422	"2012-04"
30906	423	"2013-02"
30906	423	"2012-02"
30906	424	"2011-01"
30906	97	"2011-11"
30906	425	"2010-07"
30906	426	"2014-04"
30906	427	"2011-12"
30906	428	"2010-07"
30906	429	"2013-10"
30906	430	"2013-07"
30906	431	"2014-01"
30906	432	"2014-04"
30906	433	"2014-01"
30906	434	"2012-01"
30906	435	"2013-04"
30906	436	"2014-04"
30906	437	"2011-08"
30906	438	"2012-01"
30906	438	"2013-03"
30906	439	"2012-01"
30906	439	"2011-10"
30906	440	"2014-02"
30906	440	"2012-08"
30906	441	"2011-10"
30906	442	"2014-02"
30906	443	"2011-05"
30906	444	"2012-09"
30906	445	"2012-10"
30906	446	"2013-02"
30906	447	"2014-01"
30906	448	"2012-05"
30906	449	"2014-03"
30906	450	"2013-07"
30906	451	"2011-09"
30906	451	"2010-11"
30906	452	"2011-09"
30906	452	"2010-12"
30906	144	"2011-07"
30906	453	"2013-11"
30906	453	"2011-03"
30906	453	"2012-11"
30906	453	"2011-06"
30906	454	"2011-01"
30906	455	"2011-01"
30906	456	"2011-10"
30906	457	"2011-05"
30906	458	"2011-05"
30906	459	"2011-05"
30906	460	"2011-10"
30906	460	"2012-09"
30906	461	"2011-05"
30906	462	"2011-05"
30906	463	"2011-05"
30906	464	"2011-10"
30906	464	"2014-02"
30906	465	"2012-07"
30906	466	"2012-07"
30906	466	"2013-07"
30906	467	"2012-07"
30906	468	"2012-02"
30906	469	"2012-02"
30906	470	"2012-02"
30906	471	"2011-10"
30906	472	"2014-01"
30906	473	"2012-07"
30906	473	"2013-04"
30906	474	"2012-02"
30906	475	"2012-07"
30906	476	"2012-07"
30906	477	"2013-07"
30906	478	"2013-07"
30906	479	"2013-11"
30906	480	"2014-01"
30906	481	"2013-04"
30906	482	"2013-04"
30906	483	"2013-04"
30906	484	"2012-07"
30906	485	"2012-07"
30906	486	"2014-01"
30906	487	"2013-04"
30906	488	"2013-04"
30906	489	"2014-01"
30906	490	"2013-04"
30906	491	"2013-04"
30906	492	"2013-04"
30906	493	"2012-02"
30906	494	"2012-07"
30906	494	"2013-06"
30906	495	"2011-10"
30906	495	"2012-06"
30906	496	"2012-02"
30906	497	"2011-10"
30906	497	"2013-06"
30906	498	"2013-11"
30906	499	"2013-11"
30906	500	"2013-11"
30906	501	"2013-11"
30906	502	"2013-07"
30906	503	"2013-07"
30906	504	"2013-11"
30906	505	"2013-11"
30906	506	"2013-11"
30906	507	"2013-08"
30906	507	"2012-05"
30906	508	"2013-07"
30906	508	"2012-10"
30906	509	"2013-10"
30906	131	"2013-10"
30906	131	"2014-05"
30906	510	"2013-05"
30906	511	"2013-11"
30906	512	"2013-10"
30906	513	"2012-09"
30906	513	"2011-01"
30906	514	"2012-10"
30906	515	"2010-03"
30906	515	"2013-05"
30906	516	"2011-10"
30906	517	"2010-12"
30906	518	"2011-08"
30906	519	"2014-03"
30906	520	"2013-02"
30906	521	"2013-03"
30906	522	"2012-11"
30906	523	"2013-01"
30906	524	"2010-12"
30906	525	"2010-11"
30906	526	"2010-12"
30906	527	"2010-09"
30906	528	"2013-05"
30906	529	"2013-04"
30906	530	"2013-05"
30906	531	"2013-10"
30906	532	"2013-05"
30906	533	"2010-09"
30906	534	"2014-09"
30906	535	"2014-09"
30906	536	"2013-02"
30906	536	"2012-04"
30906	537	"2011-02"
30906	538	"2010-07"
30906	539	"2013-04"
30906	540	"2011-08"
30906	541	"2012-06"
30906	542	"2012-06"
30906	542	"2011-03"
30906	543	"2011-09"
30906	544	"2012-10"
30906	545	"2014-07"
30906	546	"2012-08"
30906	547	"2014-08"
30906	548	"2013-07"
30906	549	"2014-08"
30906	550	"2010-08"
30906	550	"2011-10"
30906	551	"2014-09"
30906	552	"2013-09"
30906	552	"2012-12"
30906	552	"2012-06"
30906	553	"2012-10"
30906	553	"2013-08"
30906	554	"2012-12"
30906	555	"2011-10"
30906	556	"2014-05"
30906	557	"2013-07"
30906	558	"2013-05"
30906	559	"2014-04"
30906	560	"2012-07"
30906	561	"2013-07"
30906	562	"2014-09"
30906	563	"2011-11"
30906	564	"2014-09"
30906	565	"2012-06"
