Node1	Node2	AdamicAdar	WeightedKatz	IsEdge
34045	38578	0.341523473189	1.805	1
38467	39973	3.24018147512	11.7325	1
38824	40485	3.69417726048	13.5375	1
41231	42801	3.79945372233	13.5375	1
31952	47805	6.29260785424	30.685	1
32090	32151	9.31520395514	37.905	1
38460	41451	2.46223597309	10.83	1
31968	41642	2.50594932924	6.3175	1
34358	48319	0.912547883859	2.7075	1
47960	51345	5.18074170778	21.66	1
37657	49516	3.0543371048	14.44	1
32956	45079	2.5892833968	10.83	1
30864	39344	1.44269504089	0.9025	1
34035	43646	1.06184464933	2.7075	1
38125	49996	4.61410246685	23.465	1
51345	51933	4.01061423161	15.3425	1
31680	34323	2.98246280578	9.9275	1
36654	47976	4.72934684757	16.245	1
38295	42351	1.62592341406	5.415	1
43570	44873	3.28066857403	12.635	1
41219	42122	0.829078901962	3.61	1
39139	42077	1.54518356194	5.415	1
34467	46026	1.66179060724	4.5125	1
36322	51516	2.7769789016	8.1225	1
43625	43915	7.24912786606	30.685	1
30839	37391	4.82029497309	22.5625	1
33406	37326	2.46552296475	5.415	1
34837	37350	0.410252118631	1.805	1
40624	47064	1.95440932194	5.415	1
41886	43751	4.93746201132	16.245	1
48957	50439	6.39604340441	27.075	1
31259	47135	2.46576062923	9.025	1
37438	40798	3.11768780953	15.3425	1
45241	47759	3.85544758979	16.245	1
33632	41051	1.85267503329	8.1225	1
36457	38894	7.77968917578	37.905	1
39608	44516	2.04585215441	8.1225	1
34761	42305	0.942509014395	2.7075	1
37393	38455	0	0.0	1
35274	42493	3.29081138932	13.5375	1
34027	34946	4.98422651766	21.66	1
42279	42299	4.9630516457	17.1475	1
44609	51336	1.55634797117	5.415	1
48238	48284	2.35444607403	7.22	1
32264	40995	1.63254231222	7.22	1
36626	37667	10.4915772092	48.735	1
35690	36809	6.17450100793	29.7825	1
36457	37194	8.31973463085	42.4175	1
33153	43703	3.49962657098	17.1475	1
35188	51025	1.45279367746	4.5125	1
42515	42523	3.60968701068	13.5375	1
33475	41018	1.17544949045	4.5125	1
45609	50435	5.93492674222	26.1725	1
31662	32725	3.33001294867	11.7325	1
39375	47826	3.95760475534	18.9525	1
40614	42392	2.9000126733	14.44	1
42593	49907	4.73436502052	25.27	1
43861	51581	10.4654566151	43.32	1
32186	40513	1.34958671016	3.61	1
33732	39814	28.5688021707	128.155	1
33632	39651	17.6845696643	85.7375	1
47031	51817	3.14676007073	10.83	1
41361	44288	2.46308590066	9.025	1
33952	50385	8.44486597625	39.71	1
36001	50918	1.65944481041	4.5125	1
36403	40133	4.13317498266	18.9525	1
36120	37999	3.22581618653	17.1475	1
33479	44722	6.40132815585	25.27	1
44041	48124	1.85972743231	2.7075	1
33644	34944	24.455147819	120.935	1
43863	44735	1.74962271732	2.7075	1
38396	49245	3.0362516012	12.635	1
43278	49627	5.18075051425	18.05	1
37043	42448	0.678317624769	2.7075	1
41271	50404	6.20776867523	26.1725	1
47530	47847	2.79055313276	4.5125	1
38769	47387	3.25456872209	7.22	1
33715	36756	0.99808076419	5.415	1
39649	46183	2.58833086923	12.635	1
35690	51738	1.65679249055	9.025	1
48059	51023	3.19739337592	8.1225	1
33860	35609	0.778777712321	3.61	1
36670	44061	4.18513307136	18.9525	1
40235	40901	9.56183799471	46.93	1
33646	51143	3.20054750248	9.025	1
41733	45077	4.20263683592	17.1475	1
35545	39704	1.97011418829	7.22	1
32783	36403	37.0770421617	165.1575	1
31148	41232	1.388761748	5.415	1
36710	38840	1.9101905197	5.415	1
42664	43210	5.24944701633	17.1475	1
36578	42770	2.73058139631	7.22	1
43377	47697	2.71334085317	4.5125	1
42139	46798	2.48533973824	3.61	1
33420	35571	1.23869796538	1.805	1
35182	36392	2.16528342885	11.7325	1
34949	47739	4.6265077239	15.3425	1
37045	40462	1.8321080054	6.3175	1
38339	42642	1.3591068463	3.61	1
34059	40445	10.363695271	38.8075	1
46003	50330	3.21990677648	14.44	1
45944	47161	8.03319884551	39.71	1
35819	37209	1.49939458903	5.415	1
31541	39387	2.11678981726	6.3175	1
32055	34180	2.01704389531	4.5125	1
36094	40790	3.19264210366	16.245	1
36380	41859	2.94448124897	16.245	1
36910	40941	1.95933284591	8.1225	1
44083	46150	2.294386456	10.83	1
31046	37749	1.51775707705	5.415	1
36777	40270	6.49531937508	30.685	1
